AAA,Battery size
AAA,Travel org 
AAAS,Highly-rated bonds
AABA,Rhyme scheme
AAH,That feels good!
AAHED,Partner of oohed
AAHS,Dentists-chair comments
AAHS,Oohs followers
AAHS,Pleasurable sounds
AAHS,Sounds of contentment
AAHS,Sounds of delight
AAMILNE,Christopher Robins Dad
AAR,Alpine stream
AAR,Rhine feeder
AARE,Berns river
AARE,River to the Rhine
AARE,Swiss flower
AARE,Swiss river
AARON,Composer Copland
AARON,___ Spelling
AAS,Some batteries
AAU,Sports org 
ABA,The __ Daba Honeymoon
ABA,Arab garment
ABA,Arabian garment
ABA,Attorneys org 
ABACI,Early counters
ABACI,Original computers
ABAFT,Toward the stern
ABANDON,Leave in the lurch
ABAS,Nomadic vests
ABASE,Humble
ABASH,Discompose
ABASH,Disconcert
ABASHES,Destroys ones confidence
ABAT,Blind as __
ABATE,Die down
ABATE,Diminish
ABATED,Subsided
ABBA,Dancing Queen band
ABBA,Fernando band
ABBA,S O S  singers
ABBA,Take a Chance on Me singers
ABBA,Swedish rock group
ABBA,Swedish rockers
ABBE,Lane of song
ABBE,Singer Lane
ABBE,Singer  _____ Lane
ABBES,French clerics
ABBEYS,Monks milieus
ABBOT,Monastery bigwig
ABBOT,Monastery head
ABC,Easy letters?
ABC,Regis network
ABC,Start of a kindergarten tune
ABCD,Childrens tune starter
ABCD,Opening lyrics of a childrens tune
ABCS,school basics
ABCS,The basics
ABE,Honest __
ABE,1860s White House name
ABED,In dreamland
ABED,In the land of Nod
ABED,In the sack
ABEE,Busy as __
ABEET,Red as __
ABEET,Red as ___
ABEL,Dutch navigator Tasman
ABEL,First victim
ABELINCOLN,Emancipator from Nebraska?
ABELL,___ For Adano
ABELL,Clear as __
ABET,Act as accomplice
ABET,Aid nefariously
ABET,Aids partner
ABET,Drive the getaway car  e g 
ABET,Encourage
ABET,Have a hand in
ABET,Help
ABET,Help a hood
ABET,Help with a heist
ABET,Help with a holdup
ABHOR,Detest
ABHOR,Have no use for
ABHOR,Loathe
ABIDE,Stand for
ABIDED,Put up with
ABIDES,Puts up with
ABIE,Irish Rose lover
ABIE,Roses guy
ABIES,__ Irish Rose
ABIES,___ Irish Rose
ABLE,A  in code
ABLE,Competent
ABLE,Confident
ABLE,Having the needed resources
ABLE,Qualified
ABLE,Ready and willings companion
ABLE,Talented
ABLE,Up to the job
ABLE,Up to the task
ABLER,More qualified
ABLER,More talented
ABLY,In a competent way
ABLY,With skill
ABNER,Lil ____
ABO,Blood-classification syst 
ABODE,Digs
ABODE,Domicile
ABODE,Habitat
ABODE,Residence
ABODE,Where you live
ABODES,Dwellings
ABOLISH,Do away with
ABOLISH,Wipe out
ABOMB,Subject of  Fat Man and Little Boy 
ABORT,Terminate prematurely
ABOU,___ Ben Adhem
ABOU,Hunts poetic hero
ABOUND,Teem
ABOUT,Close to
ABOUT,Concerned with
ABOVE,Exceeding
ABOVE,Heavenward
ABOVE,Overs partner
ABOVE,Upstairs
ABOWL,Life is Just ____ of Cherries
ABRA,Start of a magicians chant
ABRADE,Rub the wrong way?
ABRADE,Use a pumice stone
ABRADED,Burnished
ABRAHAM,Type of tank
ABREASTOF,Up on
ABREASTOF,Up to date with
ABRIDGED,Condensed (as text)
ABS,Bodybuilders concern
ABS,Certain muscles
ABS,Crunches strengthen them
ABS,Iron pumpers pride
ABSENTS,Keeps away
ABSTAIN,Refrain
ABSURD,Preposterous
ABU,__ Dhabi
ABU,___ Dhabi
ABUG,Snug as _____ in a rug
ABUSES,Assails verbally
ABUT,Border on
ABUT,Touch at one end
ABUT,Touch on
ABYSS,Bottomless pit
ABYSS,Immeasurable depth
ACAD,Sch 
ACAD,West Point  e g 
ACARE,Not ___ in the world
ACARID,Mite
ACC,Eastern sports gr 
ACCEDED,Gave in
ACCEDES,Gives consent
ACCESSED,Received admittance
ACCESSES,Gets via the Net
ACCOLADE,Rave review
ACCOLADES,Kudos
ACCORD,Honda model
ACCORDIONS,Portable keyboard instruments
ACCOST,Buttonhole
ACCOST,Entice
ACCOSTS,Confronts
ACCRA,Largest city in Ghana
ACCT,CPA
ACCT,What to make a dep  into
ACCUSE,Find fault with
ACCUSE,Point the finger at
ACDC,Current choices
ACDC,Electrical option
ACE,Duffers dream
ACE,Early phone feature
ACE,Excellent serve
ACE,Expert
ACE,King beater
ACE,Top card
ACED,Got a great mark on
ACED,Got the better of
ACED,Lucked out on the links
ACED,Passed easily
ACED,Scored a 1 on
ACED,Scored on serve
ACES,Dead Mans Hand pair
ACES,High cards
ACES,Old pros
ACES,Sampras sizzlers
ACES,Serve scores
ACES,Top cards
ACES,You might find them up a sleeve
ACETIC,Containing vinegar
ACEY,__-deucy
ACEY,___-deucy
ACH,Bavarian scream
ACH,Innsbruck interjection
ACHE,Exercise aftermath
ACHE,Feel painful
ACHE,Hurt bad
ACHE,Need aspirin?
ACHE,Recover from a marathon
ACHE,Tylenol target
ACHE,Yearning
ACHED,Needed liniment
ACHES,Pains partner
ACHES,Yearns
ACHING,Feel sore
ACHOO,God bless you precursor
ACHOO,Sneeze sound
ACHT,Eight  in Munich
ACHY,Sore
ACID,Bitter
ACID,Citric ____
ACID,Corrosive liquid
ACID,Etchers need
ACID,Etching fluid
ACID,Etching solution
ACID,Tangy
ACING,Emulating Pete Sampras
ACING,Scoring on serve
ACLU,Civil rights org 
ACLU,Rights org 
ACLU,Rts  defender since 1920
ACME,High point
ACME,Wile E  Coyotes supplier
ACME,Zenith
ACMES,High points
ACNE,Teen marker
ACNE,Teen woe
ACOP,1988 film  Rent-___ 
ACORN,Oak starter
ACORN,Type of squash
ACOW,Dont have __  man!
ACR,Cruciverbalists dir 
ACR,Puzzlers dir 
ACRE,About 4047 square meters
ACRE,Field piece
ACRE,Field unit
ACRE,Land measure
ACRE,Land-parcel piece
ACRE,Lot measure
ACRE,One of the lower forty
ACRE,Plottage
ACRE,Real-estate ad word
ACRE,Real-estate measure
ACRE,Section section
ACRE,Subdivision unit
ACRE,Wide expanse
ACRES,Units of area
ACRID,Unpleasantly pungent
ACROSS,Unlike this
ACT,Behave
ACT,Circus routine
ACT,Do something
ACT,Opera division
ACT,Play part
ACT,Play the part
ACT,Statute
ACTED,Hammed it up
ACTED,Hit the big screen
ACTED,Officiated
ACTED,Took a role
ACTED,Took measures
ACTH,Pituitary hormone
ACTI,Opera opener
ACTI,Play beginning
ACTI,Play opener
ACTI,Play opening
ACTING,In office as a stopgap
ACTION,Directors word
ACTIVE,On the go
ACTON,Boston suburb
ACTON,Take the bull by the horns
ACTONE,Book by Moss Hart
ACTOR,Man of parts
ACTOR,Meryl Streep  to the politically correct
ACTOR,Performer
ACTOR,SAG member
ACTORS,SAG members
ACTOUT,Play charades
ACTS,Bible book
ACTS,Hams it up
ACTS,Play parts
ACTS,Takes the stage
ACTUAL,Honest-to-goodness
ACTUATE,Put into motion
