A,First letter
Aaronic,Alt. of Aaronical
Abbess,"A female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks. See Abbey."
Abdicate,"To renounce; to relinquish; -- said of authority, a trust, duty, right, etc."
Able,"Legally qualified; possessed of legal competence; as, able to inherit or devise property."
Ablution,The water used in cleansing.
Ablutionary,Pertaining to ablution.
Abnormities,of Abnormity
Abolitionism,The principles or measures of abolitionists.
Above,"Higher in rank or power; as, he appealed to the court above."
Abrasion,"The act of abrading, wearing, or rubbing off; the wearing away by friction; as, the abrasion of coins."
Abroach,"To set abroach; to let out, as liquor; to broach; to tap."
Abscision,See Abscission.
Absence,"Inattention to things present; abstraction (of mind); as, absence of mind."
Absolutist,One who is in favor of an absolute or autocratic government.
Abstergent,"Serving to cleanse, detergent."
Abstersion,Act of wiping clean; a cleansing; a purging.
Abstractionist,An idealist.
Absumption,Act of wasting away; a consuming; extinction.
Abuse,"A corrupt practice or custom; offense; crime; fault; as, the abuses in the civil service."
Acanthopodious,Having spinous petioles.
Acanthopterygious,Having fins in which the rays are hard and spinelike; spiny-finned.
Accelerative,Relating to acceleration; adding to velocity; quickening.
Accent,"A mark at the right hand of a number, indicating minutes of a degree, seconds, etc.; as, 12'27'', i. e., twelve minutes twenty seven seconds."
Accent,"A mark used to denote feet and inches; as, 6' 10'' is six feet ten inches."
Accord,"Agreement, harmony, or just correspondence of things; as, the accord of light and shade in painting."
Accountant,"One who is skilled in, keeps, or adjusts, accounts; an officer in a public office, who has charge of the accounts."
Acipenser,"A genus of ganoid fishes, including the sturgeons, having the body armed with bony scales, and the mouth on the under side of the head. See Sturgeon."
Acknowledgment,"The act of owning or recognized in a particular character or relationship; recognition as regards the existence, authority, truth, or genuineness."
Acoustic,"Pertaining to the sense of hearing, the organs of hearing, or the science of sounds; auditory."
Acquaintanceship,A state of being acquainted; acquaintance.
Acquiring,of Acquire
Acritochromacy,Color blindness; achromatopsy.
Actinometric,"Pertaining to the measurement of the intensity of the solar rays, either (a) heating, or (b) actinic."
Adaw,To subdue; to daunt.
Adder's-tongue,The yellow dogtooth violet.
Addicted,of Addict
Addle,To thrive or grow; to ripen.
Adessenarian,"One who held the real presence of Christ's body in the eucharist, but not by transubstantiation."
Adfiliation,See Affiliation.
Adipocere,"A soft, unctuous, or waxy substance, of a light brown color, into which the fat and muscle tissue of dead bodies sometimes are converted, by long immersion in water or by burial in moist places. It is a result of fatty degeneration."
Adjure,"To charge, bind, or command, solemnly, as if under oath, or under the penalty of a curse; to appeal to in the most solemn or impressive manner; to entreat earnestly."
Adjutory,Serving to help or assist; helping.
Admaxillary,Near to the maxilla or jawbone.
Admission,"A fact, point, or statement admitted; as, admission made out of court are received in evidence."
Adorable,Deserving to be adored; worthy of divine honors.
Advantageousness,Profitableness.
Adventitious,"Acquired, as diseases; accidental."
Adventuresome,Full of risk; adventurous; venturesome.
Advertisement,"A public notice, especially a paid notice in some public print; anything that advertises; as, a newspaper containing many advertisements."
Adynamy,Adynamia.
Aeolus,The god of the winds.
Affodill,Asphodel.
Afford,"To give, grant, or confer, with a remoter reference to its being the natural result; to provide; to furnish; as, a good life affords consolation in old age."
Affrontiveness,The quality that gives an affront or offense.
Afghan,Of or pertaining to Afghanistan.
Aflame,Inflames; glowing with light or passion; ablaze.
Age,The latter part of life; an advanced period of life; seniority; state of being old.
Age,"A particular period of time in history, as distinguished from others; as, the golden age, the age of Pericles."
Aggregative,Gregarious; social.
Aggregator,One who aggregates.
Agood,In earnest; heartily.
Aigulet,See Aglet.
Air brake,A railway brake operated by condensed air.
Air jacket,"A jacket having air-tight cells, or cavities which can be filled with air, to render persons buoyant in swimming."
Airy,Without reality; having no solid foundation; empty; trifling; visionary.
Alacriously,With alacrity; briskly.
Albicant,Growing or becoming white.
Alcoate,Alt. of Alcohate
Alcohometric,"Same as Alcoholometer, Alcoholometric."
Alevin,Young fish; fry.
Alexipharmacal,Alexipharmic.
Alighting,of Alight
Alike,Having resemblance or similitude; similar; without difference.
All-a-mort,See Alamort.
Allusion,A figurative or symbolical reference.
Almond furnace,"A kind of furnace used in refining, to separate the metal from cinders and other foreign matter."
Alone,Of or by itself; by themselves; without any thing more or any one else; without a sharer; only.
Aloof,"At or from a distance, but within view, or at a small distance; apart; away."
Altercation,Warm contention in words; dispute carried on with heat or anger; controversy; wrangle; wordy contest.
Alternative,A choice between more than two things; one of several things offered to choose among.
Alumni,of Alumnus
Alvearies,of Alveary
Amassed,of Amass
Amber,"To preserve in amber; as, an ambered fly."
Babied,of Baby
Baccalaureate,Pertaining to a bachelor of arts.
Bachelor's button,"A plant with flowers shaped like buttons; especially, several species of Ranunculus, and the cornflower (Centaures cyanus) and globe amaranth (Gomphrena)."
Back,To change from one quarter to another by a course opposite to that of the sun; -- used of the wind.
Backhanded,"Turned back, or inclining to the left; as, a backhanded letters."
Backpiece,Alt. of Backplate
Bacterioscopic,"Relating   to   bacterioscopy; as, a bacterioscopic examination."
Badge,To mark or distinguish with a badge.
Cabin,"To confine in, or as in, a cabin."
Cablelaid,"Twisted after the manner of a cable; as, a cable-laid gold chain."
Cacoon,"One of the seeds or large beans of a tropical vine (Entada scandens) used for making purses, scent bottles, etc."
Cacophonious,Harsh-sounding.
Caeca,See Caecum.
Caecal,"Having the form of a caecum, or bag with one opening; baglike; as, the caecal extremity of a duct."
Caecias,A wind from the northeast.
Caesarism,"A system of government in which unrestricted power is exercised by a single person, to whom, as Caesar or emperor, it has been committed by the popular will; imperialism; also, advocacy or support of such a system of government."
Cahoot,"Partnership; as, to go in cahoot with a person."
Calamistrate,"To curl or friz, as the hair."
Calcium,"An elementary substance; a metal which combined with oxygen forms lime. It is of a pale yellow color, tenacious, and malleable. It is a member of the alkaline earth group of elements. Atomic weight 40. Symbol Ca."
Calculi,See Calculus.
Caledonian,Of or pertaining to Caledonia or Scotland; Scottish; Scotch.
Callidity,Acuteness of discernment; cunningness; shrewdness.
Calling,"The act of one who calls; a crying aloud, esp. in order to summon, or to attact the attention of, some one."
Callisthenic,Alt. of Callisthenics
Callisthenics,"See Calisthenic, Calisthenics."
Earldom,The jurisdiction of an earl; the territorial possessions of an earl.
Earnful,Full of anxiety or yearning.
Earthly-minded,Having a mind devoted to earthly things; worldly-minded; -- opposed to spiritual-minded.
Earwitness,A witness by means of his ears; one who is within hearing and does hear; a hearer.
Ease,To entertain; to furnish with accommodations.
East,"Formerly, the part of the United States east of the Alleghany Mountains, esp. the Eastern, or New England, States; now, commonly, the whole region east of the Mississippi River, esp. that which is north of Maryland and the Ohio River; -- usually with the definite article; as, the commerce of the East is not independent of the agriculture of the West."
Ebb,To cause to flow back.
Echinus,The quarter-round molding (ovolo) of the Roman Doric style. See Illust. of Column
Echoing,of Echo
Eclaircissement,The clearing up of anything which is obscure or not easily understood; an explanation.
Eclat,Brilliancy of success or effort; splendor; brilliant show; striking effect; glory; renown.
Face,"The exact amount expressed on a bill, note, bond, or other mercantile paper, without any addition for interest or reduction for discount."
Factitive,Causing; causative.
Factum,"The due execution of a will, including everything necessary to its validity."
Fag,"To tire by labor; to exhaust; as, he was almost fagged out."
Faint,"Wanting in courage, spirit, or energy; timorous; cowardly; dejected; depressed; as, ""Faint heart ne'er won fair lady."""
